Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
Sonoma,255000,846600,TRUE,38.49688771,-122.7417072,464,1130,100,310,666,364,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,146007,368446,TRUE,38.49708119,-122.7415529,320,484,31,310,164,289,1,1.158201985,1950,Post1940,RES1,1,TRUE,1275,Average,159196.5
Sonoma,14781,91005,FALSE,38.49726966,-122.7413554,-1,-1,16,309,218,-1,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,245662,114642,TRUE,38.4945631,-122.7423475,651,1200,124,281,549,527,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16616,71147,FALSE,38.49483803,-122.7423401,649,974,266,288,325,383,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,80445,170964,FALSE,38.49509979,-122.7423681,649,974,266,290,325,383,1,1.158201985,1950,Post1940,RES1,1,TRUE,1275,Custom,220476.1875
Sonoma,134722,150573,TRUE,38.49575881,-122.742589,345,624,77,301,279,268,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,215178,548135,FALSE,38.49346336,-122.7423772,389,741,39,240,352,350,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,150458,241658,TRUE,38.4964349,-122.7444891,386,700,116,306,314,270,1,1.158201985,1950,Post1940,RES1,1,TRUE,1275,Custom,220476.1875
Sonoma,15453,170770,TRUE,38.4961926,-122.7444869,472,951,67,303,479,405,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,50205,250572,FALSE,38.49580105,-122.7442299,-1,-1,52,298,287,-1,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,35210,80217,TRUE,38.49559885,-122.7440543,644,1231,41,296,587,603,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,298864,627615,FALSE,38.49543066,-122.7438587,410,623,33,294,213,377,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,164773,262622,TRUE,38.49534754,-122.7435715,486,713,146,294,227,340,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,153864,181090,FALSE,38.49556668,-122.7459279,301,619,55,287,318,246,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,275000,895000,FALSE,38.4961234,-122.7452337,480,762,-1,297,282,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,224400,581400,TRUE,38.49520729,-122.7455053,445,776,48,288,331,397,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
