,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2008,Image2009,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2024
4000,Paradise,39776,11494,True,39.778286,-121.588489,0,1061,0,117,831,230,1,0.600070053,1960,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,Paradise,99707,99534,False,39.780332,-121.623906,0,973,0,58,831,142,1,0.600070053,1950,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,Paradise,120000,195000,True,39.778464,-121.595342,0,988,0,122,831,157,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,Paradise,160000,494000,False,39.750058,-121.637133,0,984,0,83,832,152,1,0.600070053,1960,Post1940,RES1,1,True,1125,Economic,117250.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,Paradise,35000,95000,False,39.773023,-121.616752,0,-1,0,114,833,-1,1,0.600070053,1960,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,Paradise,40800,185000,False,39.745319,-121.643916,0,1181,0,70,833,348,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,Paradise,55365,93759,False,39.74256,-121.627494,0,1145,0,100,834,311,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4007,Paradise,25000,33944,True,39.745972,-121.592584,0,-1,0,138,834,-1,1,0.600070053,1960,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,Paradise,35700,343200,False,39.738803,-121.644642,0,1363,0,90,834,529,1,0.600070053,1950,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,Paradise,84938,179602,True,39.786656,-121.579156,0,1110,0,104,839,271,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,Paradise,25764,75000,False,39.775346,-121.601552,0,-1,0,133,839,-1,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,Paradise,27545,79280,False,39.751056,-121.617586,0,1153,0,46,840,313,1,0.600070053,1960,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,Paradise,92071,107434,False,39.747918,-121.620866,0,1126,0,61,841,285,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,Paradise,102614,58000,False,39.741038,-121.566116,0,-1,0,58,841,-1,1,0.600070053,1960,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4014,Paradise,72803,18201,False,39.759759,-121.592395,0,1428,0,146,841,587,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4015,Paradise,86700,127000,False,39.751283,-121.61651,0,1286,0,41,844,442,1,0.600070053,1960,Post1940,RES1,2,True,1125,Economic,121320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4016,Paradise,142800,270300,True,39.736059,-121.577232,0,1006,0,71,844,162,1,0.600070053,1940,Post1940,RES1,2,True,1125,Economic,121320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4017,Paradise,45124,96582,False,39.756894,-121.605553,0,-1,0,75,845,-1,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4018,Paradise,69304,132843,False,39.736148,-121.595584,0,1119,0,48,845,274,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4019,Paradise,135000,315000,True,39.733053,-121.634411,0,995,0,59,845,150,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4020,Paradise,120000,390000,False,39.767481,-121.596097,0,1030,0,129,845,185,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,Paradise,15300,200000,False,39.780549,-121.59458,0,1140,0,106,845,295,1,0.600070053,1950,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4022,Paradise,125000,355000,True,39.763871,-121.594034,0,1021,0,132,846,175,1,0.600070053,1960,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4023,Paradise,42046,188000,True,39.750416,-121.58173,0,1000,0,101,846,154,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
